TMDT,F12_F,F12_T
8/4/2021 10:30,1.109169,0.02686203
8/4/2021 10:35,1.106215,0.02686203
8/4/2021 10:40,1.109908,0.02808303
8/4/2021 10:45,1.118769,0.02686203
8/4/2021 10:50,1.111385,0.02808303
8/4/2021 10:55,1.118031,0.02808303
8/4/2021 11:00,1.118031,0.02808303
8/4/2021 11:05,1.105477,0.02808303
8/4/2021 11:10,1.1136,0.02808303
8/4/2021 11:15,1.111385,0.02808303
8/4/2021 11:20,1.100308,0.02808303
8/4/2021 11:25,1.116554,0.02808303
8/4/2021 11:30,1.106215,0.02808303
8/4/2021 11:35,1.099569,0.02808303
8/4/2021 11:40,1.092185,0.02808303
8/4/2021 11:45,1.106954,0.02808303
8/4/2021 11:50,1.098092,0.02808303
8/4/2021 11:55,1.085538,0.02808303
8/4/2021 12:00,1.091446,0.02808303
8/4/2021 12:05,1.090708,0.02808303
8/4/2021 12:10,1.087015,0.02808303
8/4/2021 12:15,1.089969,0.02808303
8/4/2021 12:20,1.093662,0.02808303
8/4/2021 12:25,1.0944,0.02808303
8/4/2021 12:30,1.087754,0.02808303
8/4/2021 12:35,1.095877,0.02808303
8/4/2021 12:40,1.098092,0.02808303
8/4/2021 12:45,1.088492,0.02808303
8/4/2021 12:50,1.088492,0.02808303
8/4/2021 12:55,1.082585,0.02808303
8/4/2021 13:00,1.135754,0.02808303
8/4/2021 13:05,1.045662,0.02808303
8/4/2021 13:10,1.106954,0.02808303
8/4/2021 13:15,1.092185,0.02808303
8/4/2021 13:20,1.092185,0.02808303
8/4/2021 13:25,1.098092,0.02808303
8/4/2021 13:30,1.093662,0.02808303
8/4/2021 13:35,1.090708,0.02808303
8/4/2021 13:40,1.078154,0.02808303
8/4/2021 13:45,1.083323,0.02808303
8/4/2021 13:50,1.083323,0.02808303
8/4/2021 13:55,1.084062,0.02808303
8/4/2021 14:00,1.077415,0.02808303
8/4/2021 14:05,1.079631,0.02808303
8/4/2021 14:10,1.056,0.02808303
8/4/2021 14:15,1.114338,0.02808303
8/4/2021 14:20,1.103261,0.02808303
8/4/2021 14:25,1.119508,0.02808303
8/4/2021 14:30,1.101785,0.02808303
8/4/2021 14:35,1.100308,0.02808303
8/4/2021 14:40,1.096615,0.02808303
8/4/2021 14:45,1.109169,0.02808303
8/4/2021 14:50,1.106954,0.02808303
8/4/2021 14:55,1.109908,0.02808303
8/4/2021 15:00,1.104738,0.02808303
8/4/2021 15:05,1.098831,0.02808303
8/4/2021 15:10,1.096615,0.02808303
8/4/2021 15:15,1.105477,0.02808303
8/4/2021 15:20,1.098092,0.02808303
8/4/2021 15:25,1.109908,0.02808303
8/4/2021 15:30,1.1136,0.02808303
8/4/2021 15:35,1.106215,0.02808303
8/4/2021 15:40,1.222892,0.02808303
8/4/2021 15:45,1.212554,0.02808303
8/4/2021 15:50,1.218462,0.02808303
8/4/2021 15:55,1.206646,0.02808303
8/4/2021 16:00,1.225108,0.02808303
8/4/2021 16:05,1.220677,0.02808303
8/4/2021 16:10,1.208123,0.02808303
8/4/2021 16:15,1.201477,0.02808303
8/4/2021 16:20,1.214031,0.02808303
8/4/2021 16:25,1.198523,0.02808303
8/4/2021 16:30,1.213292,0.02808303
8/4/2021 16:35,1.211815,0.02808303
8/4/2021 16:40,1.2,0.02808303
8/4/2021 16:45,1.185231,0.02808303
8/4/2021 16:50,1.205908,0.02808303
8/4/2021 16:55,1.196308,0.02808303
8/4/2021 17:00,1.193354,0.02808303
8/4/2021 17:05,1.182277,0.02808303
8/4/2021 17:10,1.197785,0.02808303
8/4/2021 17:15,1.201477,0.02808303
8/4/2021 17:20,1.204431,0.02808303
8/4/2021 17:25,1.210338,0.02808303
8/4/2021 17:30,1.182277,0.02808303
8/4/2021 17:35,1.202215,0.02808303
8/4/2021 17:40,1.198523,0.02808303
8/4/2021 17:45,1.195569,0.02808303
8/4/2021 17:50,1.203692,0.02808303
8/4/2021 17:55,1.197785,0.02930403
8/4/2021 18:00,1.199262,0.02808303
8/4/2021 18:05,1.1904,0.02808303
8/4/2021 18:10,1.211077,0.02808303
8/4/2021 18:15,1.198523,0.02930403
8/4/2021 18:20,1.201477,0.02930403
8/4/2021 18:25,1.199262,0.02930403
8/4/2021 18:30,1.2096,0.02930403
8/4/2021 18:35,1.199262,0.02930403
8/4/2021 18:40,1.204431,0.02930403
8/4/2021 18:45,1.201477,0.02930403
8/4/2021 18:50,1.208862,0.02930403
8/4/2021 18:55,1.193354,0.02930403
8/4/2021 19:00,1.211077,0.02930403
8/4/2021 19:05,1.218462,0.02930403
8/4/2021 19:10,1.205908,0.02930403
8/4/2021 19:15,1.211077,0.02930403
8/4/2021 19:20,1.207385,0.02930403
8/4/2021 19:25,1.215508,0.02930403
