Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
14203,3/19/2021,16:44,9,2,0,0,0,0,0,0,0,11,142.04,149.21,3.19,16.59,15.15,60.01,0.9,94.75,0.02,481.86,75,90,94,1
14204,3/19/2021,16:59,10,1,0,0,0,0,0,0,0,11,142.05,164.21,3.19,17.14,15.15,60.01,0.9,94.75,0.02,497.42,75,90,94,2
14205,3/19/2021,17:14,12,1,0,0,0,0,0,0,0,14,142.06,179.21,3.19,17.29,15.15,60.01,0.9,94.75,0.02,512.58,75,90,94,3
14206,3/19/2021,17:29,9,1,0,0,0,0,0,0,0,10,142.07,194.21,3.19,17.44,15.15,60.01,0.9,94.75,0.02,527.74,75,90,94,4
14207,3/19/2021,17:44,10,1,0,0,0,0,0,0,0,11,142.08,209.21,3.19,17.59,15.15,60.01,0.9,94.75,0.02,542.9,75,90,94,5
14208,3/19/2021,17:59,10,1,0,0,0,0,0,0,0,11,142.09,224.21,3.19,18.14,15.15,60.01,0.9,94.75,0.02,558.46,75,90,94,6
14209,3/19/2021,18:14,8,1,0,0,0,0,0,0,0,9,142.1,239.21,3.19,18.29,15.15,60.01,0.9,94.75,0.02,573.62,75,90,94,7
14210,3/19/2021,18:29,10,1,0,0,0,0,0,0,0,12,142.11,255.21,3.19,18.44,15.15,60.01,0.9,94.75,0.02,589.78,75,90,94,8
14211,3/19/2021,18:44,9,1,0,0,0,0,0,0,0,10,142.12,270.21,3.19,18.59,15.15,60.01,0.9,94.75,0.02,604.94,75,90,94,9
14212,3/19/2021,18:59,9,1,0,0,0,0,0,0,0,10,142.13,285.21,3.19,19.14,15.15,60.01,0.9,94.75,0.02,620.5,75,90,94,10
14213,3/19/2021,19:14,9,1,0,0,0,0,0,0,0,10,142.14,300.21,3.19,19.29,15.15,60.01,0.9,94.75,0.02,635.66,75,90,94,11
14214,3/19/2021,19:29,9,1,0,0,0,0,0,0,0,11,142.15,315.21,3.19,19.44,15.15,60.01,0.9,94.75,0.02,650.82,75,90,94,12
14215,3/19/2021,19:44,9,1,0,0,0,0,0,0,0,10,142.16,330.21,3.19,19.59,15.15,60.01,0.9,94.75,0.02,665.98,75,90,94,13
14216,3/19/2021,19:59,10,1,0,0,0,0,0,0,0,12,142.17,345.21,3.19,20.14,15.15,60.01,0.9,94.75,0.02,681.54,75,90,94,14
14217,3/19/2021,20:14,10,1,0,0,0,0,0,0,0,11,142.18,360.21,3.19,20.29,15.15,60.01,0.9,94.75,0.02,696.7,75,90,94,15
14218,3/19/2021,20:29,10,1,0,0,0,0,0,0,0,11,142.19,375.21,3.19,20.44,15.15,60.01,0.9,94.75,0.02,711.86,75,90,94,16
14219,3/19/2021,20:44,10,1,0,0,0,0,0,0,0,12,142.2,390.21,3.19,20.59,15.15,60.01,0.9,94.75,0.02,727.02,75,90,94,17
14220,3/19/2021,20:59,10,1,0,0,0,0,0,0,0,11,142.21,405.21,3.19,21.14,15.15,60.01,0.9,94.75,0.02,742.58,75,90,94,18
14221,3/19/2021,21:14,10,1,0,0,0,0,0,0,0,11,142.22,420.21,3.19,21.29,15.15,60.01,0.9,94.75,0.02,757.74,75,90,94,19
14222,3/19/2021,21:29,11,1,0,0,0,0,0,0,0,12,142.23,435.21,3.19,21.44,15.15,60.01,0.9,94.75,0.02,772.9,75,90,94,20
14223,3/19/2021,21:44,11,3,0,0,0,0,0,0,0,14,142.24,450.21,3.19,21.59,15.15,60.01,0.9,94.75,0.02,788.06,75,90,94,21
14224,3/19/2021,21:59,11,1,0,0,0,0,0,0,0,13,142.25,465.21,3.19,22.14,15.15,60.01,0.9,94.75,0.02,803.62,75,90,94,22
14225,3/19/2021,22:14,12,1,0,0,0,0,0,0,0,14,142.26,480.21,3.19,22.29,15.15,60.01,0.9,94.75,0.02,818.78,75,90,94,23
14226,3/19/2021,22:29,10,1,0,0,0,0,0,0,0,11,142.27,495.21,3.19,22.44,15.15,60.01,0.9,94.75,0.02,833.94,75,90,94,24
14227,3/19/2021,22:44,11,1,0,0,0,0,0,0,0,13,142.28,510.21,3.19,22.59,15.15,60.01,0.9,94.75,0.02,849.1,75,90,94,25
14228,3/19/2021,22:59,11,2,0,0,0,0,0,0,0,13,142.29,525.21,3.19,23.14,15.15,60.01,0.9,94.75,0.02,864.66,75,90,94,26
14229,3/19/2021,23:14,10,1,0,0,0,0,0,0,0,11,142.3,540.21,3.19,23.29,15.15,60.01,0.9,94.75,0.02,879.82,75,90,94,27
14230,3/19/2021,23:29,11,1,0,0,0,0,0,0,0,12,142.31,555.21,3.19,23.44,15.15,60.01,0.9,94.75,0.02,894.98,75,90,94,28
14231,3/19/2021,23:44,9,1,0,0,0,0,0,0,0,10,142.32,570.21,3.19,23.59,15.15,60.01,0.9,94.75,0.02,910.14,75,90,94,29
14232,3/19/2021,23:59,13,1,0,0,0,0,0,0,0,14,142.33,585.21,3.2,0.14,15.15,60.01,0.9,94.75,0.02,901.71,75,90,94,30
14233,3/20/2021,0:14,8,1,0,0,0,0,0,0,0,9,142.34,600.21,3.2,0.29,15.15,60.01,0.9,94.75,0.02,916.87,75,90,94,31
14234,3/20/2021,0:29,10,1,0,0,0,0,0,0,0,12,142.35,615.21,3.2,0.44,15.15,60.01,0.9,94.75,0.02,932.03,75,90,94,32
