Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
04263,04/03/2021,21:45,15,1,0,0,0,0,0,0,0,15,42.64,477.21,4.03,22.00,15.15,60.01,0.77,94.75,0.02,716.58,75,77,94,00001
04264,04/03/2021,22:00,284,2,0,0,0,0,0,0,0,287,42.65,492.21,4.03,22.15,15.15,60.01,0.77,94.75,0.02,731.74,75,77,94,00002
04265,04/03/2021,22:15,47,2,0,0,0,0,0,0,0,49,42.66,507.21,4.03,22.30,15.15,60.01,0.77,94.75,0.02,746.90,75,77,94,00003
04266,04/03/2021,22:30,33,2,0,0,0,0,0,0,0,35,42.67,522.21,4.03,22.45,15.15,60.01,0.77,94.75,0.02,762.06,75,77,94,00004
04267,04/03/2021,22:45,23,1,0,0,0,0,0,0,0,24,42.68,537.21,4.03,23.00,15.15,60.01,0.77,94.75,0.02,777.62,75,77,94,00005
04268,04/03/2021,23:00,21,1,0,0,0,0,0,0,0,23,42.69,552.21,4.03,23.15,15.15,60.01,0.77,94.75,0.02,792.78,75,77,94,00006
04269,04/03/2021,23:15,528,71,29,9,0,0,0,0,0,637,42.70,567.21,4.03,23.30,15.15,60.01,0.76,94.75,0.02,807.93,75,77,94,00007
04270,04/03/2021,23:30,39,3,1,0,0,0,0,0,0,43,42.71,582.21,4.03,23.45,15.15,60.01,0.76,94.75,0.02,823.09,75,76,94,00008
04271,04/03/2021,23:45,28,2,1,0,0,0,0,0,0,31,42.72,597.21,4.04,0.00,15.15,60.01,0.76,94.75,0.02,814.66,75,76,94,00009
04272,04/04/2021,00:00,27,2,1,0,0,0,0,0,0,30,42.73,612.21,4.04,0.15,15.15,60.01,0.76,94.75,0.02,829.82,75,76,94,00010
04273,04/04/2021,00:15,26,2,0,0,0,0,0,0,0,29,42.74,627.21,4.04,0.30,15.15,60.01,0.76,94.75,0.02,844.98,75,76,94,00011
04274,04/04/2021,00:30,26,2,0,0,0,0,0,0,0,28,42.75,642.21,4.04,0.45,15.15,60.01,0.76,94.75,0.02,860.14,75,76,94,00012
