"filter","Date","sampledFlow","sampledDatePC","sampledDateFlow","flow","turbidity","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","difference","runID","runDifference"
12,2021-03-03 03:30:00,1.011692,2021-03-03 03:25:00,2021-03-03 03:30:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,8
12,2021-03-03 03:45:00,1.008,2021-03-03 03:40:00,2021-03-03 03:45:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,8.25
12,2021-03-03 04:00:00,0.9991384,2021-03-03 03:55:00,2021-03-03 04:00:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,8.5
12,2021-03-03 04:15:00,1.005046,2021-03-03 04:10:00,2021-03-03 04:15:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,8.75
12,2021-03-03 04:30:00,0.9902769,2021-03-03 04:25:00,2021-03-03 04:30:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,9
12,2021-03-03 04:45:00,0.9888,2021-03-03 04:40:00,2021-03-03 04:45:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,9.25
12,2021-03-03 05:00:00,0.996923,2021-03-03 04:55:00,2021-03-03 05:00:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,9.5
12,2021-03-03 05:15:00,0.9954461,2021-03-03 05:10:00,2021-03-03 05:15:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,9.75
12,2021-03-03 05:30:00,0.9954461,2021-03-03 05:25:00,2021-03-03 05:30:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,10
12,2021-03-03 05:45:00,0.9984,2021-03-03 05:40:00,2021-03-03 05:45:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,10.25
12,2021-03-03 06:00:00,0.9799384,2021-03-03 05:55:00,2021-03-03 06:00:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,10.5
12,2021-03-03 06:15:00,0.9939692,2021-03-03 06:10:00,2021-03-03 06:15:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,10.75
12,2021-03-03 06:30:00,0.9902769,2021-03-03 06:25:00,2021-03-03 06:30:00,1,0.02442002,0.19536016,0,0,0,0,0,0,0,0,15,1,11
12,2021-03-03 06:45:00,0.9843692,2021-03-03 06:40:00,2021-03-03 06:45:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,11.25
12,2021-03-03 07:00:00,0.9947076,2021-03-03 06:55:00,2021-03-03 07:00:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,11.5
12,2021-03-03 07:15:00,0.9836308,2021-03-03 07:10:00,2021-03-03 07:15:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,11.75
12,2021-03-03 07:30:00,0.9828923,2021-03-03 07:25:00,2021-03-03 07:30:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,12
12,2021-03-03 07:45:00,0.9917538,2021-03-03 07:40:00,2021-03-03 07:45:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,12.25
12,2021-03-03 08:00:00,0.9961846,2021-03-03 07:55:00,2021-03-03 08:00:00,1,0.02442002,0.19536016,0.02442002,0,0,0,0,0,0,0,15,1,12.5
12,2021-03-03 08:15:00,0.9865846,2021-03-03 08:10:00,2021-03-03 08:15:00,1,0.02442002,0.19536016,0,0,0,0,0,0,0,0,15,1,12.75
12,2021-03-03 08:30:00,0.9895384,2021-03-03 08:25:00,2021-03-03 08:30:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,13
12,2021-03-03 08:45:00,0.9991384,2021-03-03 08:40:00,2021-03-03 08:45:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,13.25
12,2021-03-03 09:00:00,1.002831,2021-03-03 08:55:00,2021-03-03 09:00:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,13.5
12,2021-03-03 09:15:00,0.9998769,2021-03-03 09:10:00,2021-03-03 09:15:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,13.75
12,2021-03-03 09:30:00,0.9961846,2021-03-03 09:25:00,2021-03-03 09:30:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,14
12,2021-03-03 09:45:00,1.107692,2021-03-03 09:40:00,2021-03-03 09:45:00,1,0.02442002,0.21978018,0,0,0,0,0,0,0,0,15,1,14.25
12,2021-03-03 10:00:00,1.095877,2021-03-03 09:55:00,2021-03-03 10:00:00,1,0.02442002,0.29304024,0.02442002,0,0,0,0,0,0,0,15,1,14.5
12,2021-03-03 10:15:00,1.101785,2021-03-03 10:10:00,2021-03-03 10:15:00,1,0.02442002,0.29304024,0.02442002,0,0,0,0,0,0,0,15,1,14.75
12,2021-03-03 10:30:00,1.095877,2021-03-03 10:25:00,2021-03-03 10:30:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,15
12,2021-03-03 10:45:00,1.101046,2021-03-03 10:40:00,2021-03-03 10:45:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,15.25
12,2021-03-03 11:00:00,1.098831,2021-03-03 10:55:00,2021-03-03 11:00:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,15.5
12,2021-03-03 11:15:00,1.104738,2021-03-03 11:10:00,2021-03-03 11:15:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,15.75
12,2021-03-03 11:30:00,1.091446,2021-03-03 11:25:00,2021-03-03 11:30:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,16
12,2021-03-03 11:45:00,1.109908,2021-03-03 11:40:00,2021-03-03 11:45:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,16.25
12,2021-03-03 12:00:00,1.108431,2021-03-03 11:55:00,2021-03-03 12:00:00,1,0.02442002,0.29304024,0.02442002,0,0,0,0,0,0,0,15,1,16.5
12,2021-03-03 12:15:00,1.090708,2021-03-03 12:10:00,2021-03-03 12:15:00,1,0.02442002,0.2442002,0.02442002,0,0,0,0,0,0,0,15,1,16.75
12,2021-03-03 12:30:00,1.109169,2021-03-03 12:25:00,2021-03-03 12:30:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,17
12,2021-03-03 12:45:00,1.101785,2021-03-03 12:40:00,2021-03-03 12:45:00,1,0.02442002,0.2442002,0.02442002,0,0,0,0,0,0,0,15,1,17.25
12,2021-03-03 13:00:00,1.0944,2021-03-03 12:55:00,2021-03-03 13:00:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,17.5
12,2021-03-03 13:15:00,1.100308,2021-03-03 13:10:00,2021-03-03 13:15:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,17.75
12,2021-03-03 13:30:00,1.091446,2021-03-03 13:25:00,2021-03-03 13:30:00,1,0.02442002,0.29304024,0.02442002,0,0,0,0,0,0,0,15,1,18
12,2021-03-03 13:45:00,1.103261,2021-03-03 13:40:00,2021-03-03 13:45:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,18.25
12,2021-03-03 14:00:00,1.106954,2021-03-03 13:55:00,2021-03-03 14:00:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,18.5
12,2021-03-03 14:15:00,1.098831,2021-03-03 14:10:00,2021-03-03 14:15:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,18.75
12,2021-03-03 14:30:00,1.104,2021-03-03 14:25:00,2021-03-03 14:30:00,1,0.02564103,0.35897442,0.02564103,0,0,0,0,0,0,0,15,1,19
12,2021-03-03 14:45:00,1.106954,2021-03-03 14:40:00,2021-03-03 14:45:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,19.25
12,2021-03-03 15:00:00,1.097354,2021-03-03 14:55:00,2021-03-03 15:00:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,19.5
12,2021-03-03 15:15:00,1.102523,2021-03-03 15:10:00,2021-03-03 15:15:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,19.75
12,2021-03-03 15:30:00,1.092185,2021-03-03 15:25:00,2021-03-03 15:30:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,20
12,2021-03-03 15:45:00,1.103261,2021-03-03 15:40:00,2021-03-03 15:45:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,20.25
12,2021-03-03 16:00:00,1.0944,2021-03-03 15:55:00,2021-03-03 16:00:00,1,0.02564103,0.35897442,0.02564103,0,0,0,0,0,0,0,15,1,20.5
12,2021-03-03 16:15:00,1.100308,2021-03-03 16:10:00,2021-03-03 16:15:00,1,0.02564103,0.35897442,0.02564103,0,0,0,0,0,0,0,15,1,20.75
12,2021-03-03 16:30:00,1.109908,2021-03-03 16:25:00,2021-03-03 16:30:00,1,0.02564103,0.30769236,0.02564103,0,0,0,0,0,0,0,15,1,21
12,2021-03-03 16:45:00,1.096615,2021-03-03 16:40:00,2021-03-03 16:45:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,21.25
12,2021-03-03 17:00:00,1.112123,2021-03-03 16:55:00,2021-03-03 17:00:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,21.5
12,2021-03-03 17:15:00,1.095138,2021-03-03 17:10:00,2021-03-03 17:15:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,21.75
12,2021-03-03 17:30:00,1.105477,2021-03-03 17:25:00,2021-03-03 17:30:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,22
12,2021-03-03 17:45:00,1.090708,2021-03-03 17:40:00,2021-03-03 17:45:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,22.25
12,2021-03-03 18:00:00,1.106215,2021-03-03 17:56:00,2021-03-03 18:00:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,22.5
12,2021-03-03 18:15:00,1.109908,2021-03-03 18:11:00,2021-03-03 18:15:00,1,0.02564103,0.28205133,0.02564103,0,0,0,0,0,0,0,15,1,22.75
12,2021-03-03 18:30:00,1.098092,2021-03-03 18:26:00,2021-03-03 18:30:00,1,0.02564103,0.35897442,0,0,0,0,0,0,0,0,15,1,23
12,2021-03-03 18:45:00,1.092185,2021-03-03 18:41:00,2021-03-03 18:45:00,1,0.02564103,0.33333339,0.02564103,0,0,0,0,0,0,0,15,1,23.25
12,2021-03-03 19:00:00,1.086277,2021-03-03 18:56:00,2021-03-03 19:00:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,23.5
12,2021-03-03 19:15:00,1.084062,2021-03-03 19:11:00,2021-03-03 19:15:00,1,0.02564103,0.28205133,0.02564103,0,0,0,0,0,0,0,15,1,23.75
12,2021-03-03 19:30:00,1.103261,2021-03-03 19:26:00,2021-03-03 19:30:00,1,0.02564103,0.35897442,0,0,0,0,0,0,0,0,15,1,24
12,2021-03-03 19:45:00,1.103261,2021-03-03 19:41:00,2021-03-03 19:45:00,1,0.02564103,0.33333339,0.02564103,0,0,0,0,0,0,0,15,1,24.25
12,2021-03-03 20:00:00,1.108431,2021-03-03 19:56:00,2021-03-03 20:00:00,1,0.02564103,0.35897442,0,0,0,0,0,0,0,0,15,1,24.5
12,2021-03-03 20:15:00,1.098831,2021-03-03 20:11:00,2021-03-03 20:15:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,24.75
12,2021-03-03 20:30:00,1.090708,2021-03-03 20:26:00,2021-03-03 20:30:00,1,0.02564103,0.35897442,0,0,0,0,0,0,0,0,15,1,25
12,2021-03-03 20:45:00,1.089969,2021-03-03 20:41:00,2021-03-03 20:45:00,1,0.02564103,0.33333339,0,0,0,0,0,0,0,0,15,1,25.25
12,2021-03-03 21:00:00,1.099569,2021-03-03 20:56:00,2021-03-03 21:00:00,1,0.02564103,0.35897442,0.02564103,0,0,0,0,0,0,0,15,1,25.5
12,2021-03-03 21:15:00,1.096615,2021-03-03 21:11:00,2021-03-03 21:15:00,1,0.02564103,0.35897442,0,0,0,0,0,0,0,0,15,1,25.75
12,2021-03-03 21:30:00,1.103261,2021-03-03 21:26:00,2021-03-03 21:30:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,26
12,2021-03-03 21:45:00,1.098831,2021-03-03 21:41:00,2021-03-03 21:45:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,26.25
12,2021-03-03 22:00:00,1.087754,2021-03-03 21:56:00,2021-03-03 22:00:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,26.5
12,2021-03-03 22:15:00,1.093662,2021-03-03 22:11:00,2021-03-03 22:15:00,1,0.02564103,0.30769236,0,0,0,0,0,0,0,0,15,1,26.75
12,2021-03-03 22:30:00,1.095138,2021-03-03 22:26:00,2021-03-03 22:30:00,1,0.02564103,0.2564103,0,0,0,0,0,0,0,0,15,1,27
12,2021-03-03 22:45:00,1.083323,2021-03-03 22:41:00,2021-03-03 22:45:00,1,0.02564103,0.28205133,0,0,0,0,0,0,0,0,15,1,27.25
12,2021-03-03 23:00:00,1.0944,2021-03-03 22:56:00,2021-03-03 23:00:00,1,0.02564103,0.23076927,0,0,0,0,0,0,0,0,15,1,27.5
