Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
7345,8/2/2021,0:01,62,15,6,2,0,0,0,0,0,85,73.46,882.21,8.02,0.16,15.15,60.01,0.96,100.75,0.02,1140.74,75,96,100,49
7346,8/2/2021,0:16,61,17,6,2,0,0,0,0,0,86,73.47,897.21,8.02,0.31,15.15,60.01,0.96,100.75,0.02,1155.9,75,96,100,50
7347,8/2/2021,0:31,62,15,7,2,0,0,0,0,0,87,73.48,912.21,8.02,0.46,15.15,60.01,0.96,100.75,0.02,1171.06,75,96,100,51
7348,8/2/2021,0:46,62,16,6,1,0,0,0,0,0,85,73.49,927.21,8.02,1.01,15.15,60.01,0.96,100.75,0.02,1186.62,75,96,100,52
7349,8/2/2021,1:01,105,27,27,4,0,0,0,0,0,163,73.5,943.21,8.02,1.16,15.15,60.01,0.96,100.75,0.02,1202.78,75,96,100,53
7350,8/2/2021,1:16,102,24,9,3,0,0,0,0,0,138,73.51,958.21,8.02,1.31,15.15,60.01,0.96,100.75,0.02,1217.94,75,96,100,54
7351,8/2/2021,1:31,54,7,3,1,0,0,0,0,0,65,73.52,973.21,8.02,1.46,15.15,60.01,0.96,100.75,0.02,1233.1,75,96,100,55
7352,8/2/2021,1:46,38,4,3,0,0,0,0,0,0,46,73.53,988.21,8.02,2.01,15.15,60.01,0.96,100.75,0.02,1248.66,75,96,100,56
7353,8/2/2021,2:01,29,4,2,0,0,0,0,0,0,36,73.54,1003.21,8.02,2.16,15.15,60.01,0.96,100.75,0.02,1263.82,75,96,100,57
7354,8/2/2021,2:16,26,3,2,0,0,0,0,0,0,30,73.55,1018.21,8.02,2.31,15.15,60.01,0.96,100.75,0.02,1278.98,75,96,100,58
7355,8/2/2021,2:31,21,3,1,0,0,0,0,0,0,25,73.56,1033.21,8.02,2.46,15.15,60.01,0.96,100.75,0.02,1294.14,75,96,100,59
